,iso3_country,gas,emissions_quantity,capacity,capacity_factor,activity,st_astext,year,use_biomass,use_gas_or_oil,use_gas,use_coal,use_oil,use_other_fossil,owner_name,owner_direct_parent,owner_grouping,asset_name
25,IND,n2o,0.0,2340,0.523,10750000,POINT(87.2656 25.2369),2020,False,False,False,True,False,False,NTPC Ltd,NTPC (India),NTPC (India),Kahalgaon Super Thermal Power Plant
26,USA,co2e_100yr,8583000.0,1576,0.666,9192000,POINT(-94.98 39.4472),2019,False,False,False,True,False,False,Kansas City Power & Light Co,Evergy,Evergy,Iatan
27,USA,co2e_20yr,8583000.0,1576,0.666,9192000,POINT(-94.98 39.4472),2019,False,False,False,True,False,False,Kansas City Power & Light Co,Evergy,Evergy,Iatan
28,USA,co2,7070000.0,1576,0.547,7572000,POINT(-94.98 39.4472),2020,False,False,False,True,False,False,Kansas City Power & Light Co,Evergy,Evergy,Iatan
29,USA,co2e_100yr,7070000.0,1576,0.547,7572000,POINT(-94.98 39.4472),2020,False,False,False,True,False,False,Kansas City Power & Light Co,Evergy,Evergy,Iatan
30,USA,co2e_20yr,7070000.0,1576,0.547,7572000,POINT(-94.98 39.4472),2020,False,False,False,True,False,False,Kansas City Power & Light Co,Evergy,Evergy,Iatan
31,USA,co2,7924000.0,1576,0.615,8487000,POINT(-94.98 39.4472),2021,False,False,False,True,False,False,Kansas City Power & Light Co,Evergy,Evergy,Iatan
32,USA,co2e_100yr,7924000.0,1576,0.615,8487000,POINT(-94.98 39.4472),2021,False,False,False,True,False,False,Kansas City Power & Light Co,Evergy,Evergy,Iatan
33,USA,co2e_20yr,7924000.0,1576,0.615,8487000,POINT(-94.98 39.4472),2021,False,False,False,True,False,False,Kansas City Power & Light Co,Evergy,Evergy,Iatan
34,USA,co2,8583000.0,1576,0.666,9192000,POINT(-94.98 39.4472),2019,False,False,False,True,False,False,Kansas City Power & Light Co,Evergy,Evergy,Iatan
35,BGR,co2e_100yr,4960000.0,910,0.558,4457000,POINT(25.9076 42.1559),2020,False,False,False,True,False,False,,,,Brikel power station
36,BGR,co2e_20yr,4960000.0,910,0.558,4457000,POINT(25.9076 42.1559),2020,False,False,False,True,False,False,,,,Brikel power station
37,BGR,co2,5882000.0,910,0.663,5287000,POINT(25.9076 42.1559),2019,False,False,False,True,False,False,,,,Brikel power station
38,BGR,co2e_100yr,5882000.0,910,0.663,5287000,POINT(25.9076 42.1559),2019,False,False,False,True,False,False,,,,Brikel power station
39,BGR,co2e_20yr,5882000.0,910,0.663,5287000,POINT(25.9076 42.1559),2019,False,False,False,True,False,False,,,,Brikel power station
40,BGR,co2,5833000.0,910,0.658,5242000,POINT(25.9076 42.1559),2021,False,False,False,True,False,False,,,,Brikel power station
41,BGR,co2e_100yr,5833000.0,910,0.658,5242000,POINT(25.9076 42.1559),2021,False,False,False,True,False,False,,,,Brikel power station
42,BGR,co2e_20yr,5833000.0,910,0.658,5242000,POINT(25.9076 42.1559),2021,False,False,False,True,False,False,,,,Brikel power station
43,BGR,co2,4960000.0,910,0.558,4457000,POINT(25.9076 42.1559),2020,False,False,False,True,False,False,,,,Brikel power station
44,IDN,co2e_20yr,23438000.0,4690,0.571,23544000,POINT(106.0336 -5.8892),2020,False,False,False,True,True,False,PLN,PLN (Indonesia),PLN (Indonesia),Banten Suralaya power station
45,IDN,co2,23342000.0,4690,0.571,23449000,POINT(106.0336 -5.8892),2019,False,False,False,True,True,False,PLN,PLN (Indonesia),PLN (Indonesia),Banten Suralaya power station
46,IDN,co2e_100yr,23342000.0,4690,0.571,23449000,POINT(106.0336 -5.8892),2019,False,False,False,True,True,False,PLN,PLN (Indonesia),PLN (Indonesia),Banten Suralaya power station
47,IDN,co2e_20yr,23342000.0,4690,0.571,23449000,POINT(106.0336 -5.8892),2019,False,False,False,True,True,False,PLN,PLN (Indonesia),PLN (Indonesia),Banten Suralaya power station
48,IDN,co2,23374000.0,4690,0.572,23480000,POINT(106.0336 -5.8892),2021,False,False,False,True,True,False,PLN,PLN (Indonesia),PLN (Indonesia),Banten Suralaya power station
49,IDN,co2e_100yr,23374000.0,4690,0.572,23480000,POINT(106.0336 -5.8892),2021,False,False,False,True,True,False,PLN,PLN (Indonesia),PLN (Indonesia),Banten Suralaya power station
50,IDN,co2e_20yr,23374000.0,4690,0.572,23480000,POINT(106.0336 -5.8892),2021,False,False,False,True,True,False,PLN,PLN (Indonesia),PLN (Indonesia),Banten Suralaya power station
51,IDN,ch4,0.0,4690,0.571,23544000,POINT(106.0336 -5.8892),2020,False,False,False,True,True,False,PLN,PLN (Indonesia),PLN (Indonesia),Banten Suralaya power station
52,IDN,co2,23438000.0,4690,0.571,23544000,POINT(106.0336 -5.8892),2020,False,False,False,True,True,False,PLN,PLN (Indonesia),PLN (Indonesia),Banten Suralaya power station
53,IDN,n2o,0.0,4690,0.571,23544000,POINT(106.0336 -5.8892),2020,False,False,False,True,True,False,PLN,PLN (Indonesia),PLN (Indonesia),Banten Suralaya power station
54,USA,co2e_100yr,9532000.0,2643,0.441,10209000,POINT(-87.8315 42.8475),2021,False,False,False,True,False,False,We Energies,WEC Energy Group,WEC Energy Group,Elm Road Generating Station
55,USA,co2e_20yr,9532000.0,2643,0.441,10209000,POINT(-87.8315 42.8475),2021,False,False,False,True,False,False,We Energies,WEC Energy Group,WEC Energy Group,Elm Road Generating Station
56,IDN,co2e_100yr,23438000.0,4690,0.571,23544000,POINT(106.0336 -5.8892),2020,False,False,False,True,True,False,PLN,PLN (Indonesia),PLN (Indonesia),Banten Suralaya power station
57,USA,n2o,0.0,2643,0.363,8426000,POINT(-87.8315 42.8475),2020,False,False,False,True,False,False,We Energies,WEC Energy Group,WEC Energy Group,Elm Road Generating Station
58,USA,co2e_100yr,7867000.0,2643,0.363,8426000,POINT(-87.8315 42.8475),2020,False,False,False,True,False,False,We Energies,WEC Energy Group,WEC Energy Group,Elm Road Generating Station
59,USA,co2e_100yr,9164000.0,2643,0.424,9815000,POINT(-87.8315 42.8475),2019,False,False,False,True,False,False,We Energies,WEC Energy Group,WEC Energy Group,Elm Road Generating Station
